Confidence,BusName (SSWG),Data Center Name,Online Date,BusID (SSWG),DAM Bus Name,kV,Crypto/Non-Crypto,Dispatchable,Max MW,Expected MW,DAM MW,NewLoad,Dispatchable_Derate,LoadID,NmmsStationCode,NmmsStationName,NmmsWeatherZone,busNum,busName,OldLoad,PrimaryLoadLabel,PrimaryLoadID
1.0,ALLEN_N2_8,CyrusOneAllenDFW3,2024-12-01,2548,ALNTH,138.0,Non-Crypto,NO,50.0,0.0,50.0,0.0,1.0,D1,ALNTH,ALLEN NORTH,WZ_NORTH_CENTRAL,2548.0,ALLEN_N2_8,50.0,ALNTH_LDLXFMR4,97
1.0,ALLEN_N2_8,CyrusOneDFW3Bldg3,2026-12-01,2548,ALNTH,138.0,Non-Crypto,NO,60.0,60.0,0.0,48.0,1.0,D2,ALNTH,ALLEN NORTH,WZ_NORTH_CENTRAL,2548.0,ALLEN_N2_8,0.0,ALNTH_LDLXFMR3,98
1.0,RICHCLLN1_8,DigitalRealtyDFW1137,2025-01-01,2686,RCLNS ,138.0,Non-Crypto,NO,250.0,0.0,120.0,0.0,1.0,D1,MORGAN,MORGAN,WZ_NORTH_CENTRAL,2686.0,MORGAN      ,120.0,RCLNS_LXFMR2,95
2.0,RICHCLLN1_8,DigitalRealtyDFW1137,2027-12-01,2686,RCLNS ,138.0,Non-Crypto,NO,250.0,115.0,0.0,92.0,1.0,D2,MORGAN,MORGAN,WZ_NORTH_CENTRAL,2686.0,MORGAN      ,0.0,RCLNS_LXFMR1,96
2.0,RICH_SC_8,CyrusOneDallasDFW6,2027-01-01,2689,RSPCK,138.0,Non-Crypto,NO,28.0,28.0,0.0,22.4,1.0,D1,RSPCK,RICHARDSON SPRING CREEK,WZ_NORTH_CENTRAL,2689.0,RICH_SC_8,0.0,RSPCK_XFMR4,96
1.0,WILMER1_8,QTSDFW2DC1,2026-12-01,3083,WILMR,138.0,Non-Crypto,NO,210.0,70.0,0.0,56.0,1.0,D1,WILMR,WILMER,WZ_NORTH_CENTRAL,3083.0,WILMER1_8,0.0,,
1.0,WILMER1_8,QTSDFW2DC2,2027-07-01,3083,WILMR,138.0,Non-Crypto,NO,210.0,70.0,0.0,56.0,1.0,D2,WILMR,WILMER,WZ_NORTH_CENTRAL,3083.0,WILMER1_8,0.0,,
1.0,MELTONBPOD_5,RiotCorsicanaTX,2028-01-01,3373,MBPOD,345.0,Crypto,YES,1000.0,400.0,370.0,320.0,0.5,D1,MBPOD,MELTON BRANCH,WZ_NORTH_CENTRAL,3373.0,MELTONBPOD_5,370.0,MBPOD_CSXFMR1,1 
1.0,SANDOW1_8,BitDeerRockdaleTX,2026-12-01,3430,SNDOW,138.0,Crypto and AI,YES,550.0,180.0,70.0,144.0,0.5,D1,SNDOW,Sandow Sub,WZ_SOUTH_CENTRAL,3430.0,SANDOW1_8   ,70.0,SNDOW_LD_ALCOA,99
1.0,PEPPERCRK_8,FacebookTempleTX,2027-12-01,3484,PPRSW,138.0,Non-Crypto,NO,450.0,200.0,50.0,160.0,1.0,D1,PPRSW,PEPPER CREEK SWITCH,WZ_NORTH_CENTRAL,3484.0,PEPPERCRK_8,50.0,PPRSW_LDXFMR1,1 
1.0,TINROOF_8,RowanTempleMoriahTX,2023-01-01,3485,TINPD,,Non-Crypto,YES,300.0,0.0,100.0,0.0,0.5,D1,TITAN_SU,TITAN SUBSTATION,WZ_SOUTHERN,3485.0,TITAN       ,100.0,TINPD_LDRGD,1 
2.0,ANDERSON ,StreamSanAntonioIIIVII,2028-01-01,5003,L0,138.0,Non-Crypto,NO,200.0,160.0,0.0,128.0,1.0,D1,L0,ANDERSON,WZ_SOUTH_CENTRAL,5003.0,ANDERSON    ,0.0,L0_LXFMR4,97
1.0,OMICRON,MicrosoftTRP16,2025-12-01,5326,,138.0,Non-Crypto,NO,200.0,40.0,0.0,32.0,1.0,D1,K1,OMICRON,WZ_SOUTH_CENTRAL,5326.0,OMICRON,0.0,K1_LXFMR4,98
2.0,OMICRON,CyrusOneSAT511,2027-01-01,5326,K1,138.0,Non-Crypto,NO,108.0,36.0,0.0,28.8,1.0,D2,K1,OMICRON,WZ_SOUTH_CENTRAL,5326.0,OMICRON,0.0,K1_LXFMR2,99
1.0,POTRANCO,QTSSanAntonio,2024-01-01,5346,,138.0,Non-Crypto,NO,90.0,0.0,40.0,0.0,1.0,D1,SCL,SCOTLAND,WZ_NORTH,5346.0,SCOTLAND    ,40.0,U5_LXFMR3,98
1.0,RAFTER,MicrosoftTRP16,2024-01-01,5355,Z1,138.0,Non-Crypto,NO,200.0,20.0,140.0,16.0,1.0,D1,Z1,RAFTER,WZ_SOUTH_CENTRAL,5355.0,RAFTER      ,140.0,Z1_LXFMR1,1 
1.0,TCC,AmazonRockfish,2024-01-01,5423,,138.0,Non-Crypto,NO,18.0,0.0,30.0,0.0,1.0,D1,Q3,TCC,WZ_SOUTH_CENTRAL,5423.0,TCC,30.0,Q3_LXFMR3,1 
1.0,TX_RSRCH,CyrusOneSAT511,2026-12-01,5430,V3,138.0,Non-Crypto,NO,108.0,32.0,40.0,25.6,1.0,D1,V3,TXRESRCH,WZ_SOUTH_CENTRAL,5430.0,TX_RSRCH,40.0,V3_LXFMR2,1 
