teid,branch_id,ercotDampsseId,from_bus,to_bus,ckt,default_status,default_status_source,in_service_date,retirement_date,DeviceType,match_status,in_service_date_source,retirement_date_source,dates_review_flag,status_review_flag,dampsse_default_status,dampsse_pct_inservice,implied_default_status,pct_closed
279013,60072245.0,9364.0,VERS2A,VERS4A,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,duplicate_resolved_by_latest_id,default,default,ok,no_pto_data,Closed,1.0,,
676420,60078479.0,11630.0,RAILROAD_DC,79610,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,evidence_dropped_wrong_device,clear_majority,Closed,0.9309,Closed,1.0
41077,60111766.0,2782.0,DOW____A3STR,DOW_1_8,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,duplicate_resolved_by_opeqcode,default,default,ok,clear_majority,Closed,0.9979,Closed,1.0
280277,60111839.0,9395.0,UCC__UCC_C_2,UCC_1_8,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,duplicate_resolved_by_opeqcode,default,default,ok,clear_majority,Closed,1.0,Closed,1.0
279796,60111420.0,2901.0,EXXON__POI_8,EXN_3_9,A3,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,duplicate_resolved_by_opeqcode,default,default,ok,clear_majority,Closed,1.0,Closed,1.0
279442,60111263.0,895.0,ALLENSWS1_8,ALNSW1_1,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,1.0,Closed,1.0
319888,,,,,,,,1990-01-01,2099-12-31,,unmatched,default,default,,,,,,
280278,60110931.0,6331.0,RAYBURNPLNT8,RAY_RAYBURG8,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.9987,Closed,1.0
307551,60110698.0,9517.0,WILLOWVAL_5,WLVSW1_1,3,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.9942,Closed,1.0
305604,60111665.0,7996.0,TESLA7A,TESLA1A,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.6283,Closed,0.824
