teid,branch_id,base_model_status,implied_default_status,pct_closed,base_from_name,base_to_name,base_circuit,base_device_type,from_bus,to_bus,ckt,DeviceType,match_type
579739,60012341.0,Open,Closed,0.75,NEDIN4B,NEDIN4C,S1,Line,NEDIN4B,NEDIN4C,S1,Line,direct_label
579740,60012342.0,Open,Closed,0.75,NEDIN4E,NEDIN4D,S2,Line,NEDIN4E,NEDIN4D,S2,Line,direct_label
585029,60012482.0,Open,Closed,1.0,CONCHO2A,CRIS2A,1,Line,CRIS2A,CONCHO2A,1,Line,direct_label
585317,60012498.0,Open,Closed,0.8,ROSEMNT1_8,WDGWD1_T8,1,Line,WDGWD1_T8,ROSEMNT1_8,1,Line,direct_label
596978,60012606.0,Open,Closed,1.0,AIRPRO_POI_8,BOGGY__POI_8,85,Line,BOGGY__POI_8,AIRPRO_POI_8,85,Line,direct_label
605669,60012647.0,Open,Closed,1.0,MILLWOOD,6812,2,Line,MILLWOOD,6812,2,Line,direct_label
618411,60012749.0,Closed,Open,0.4,TNLEONCRK_1,TNBCLNCRK_1,1,Line,TNLEONCRK_1,TNBCLNCRK_1,1,Line,direct_label
620824,60012911.0,Open,Closed,1.0,GODDARD2_T8,GODDARD_8,1,Line,GODDARD_8,GODDARD2_T8,1,Line,direct_label
626574,60012909.0,Open,Closed,0.571,MSQTE1_8,OATES,1,Line,OATES,MSQTE1_8,1,Line,direct_label
639467,60013074.0,Open,Closed,1.0,BANKHEAD,BELLMNT_8,2,Line,BELLMNT_8,BANKHEAD,2,Line,direct_label
646943,60012942.0,Open,Closed,0.9,BROOKHTP4A,JOSLIN4A,1,Line,JOSLIN4A,BROOKHTP4A,1,Line,direct_label
646945,60012943.0,Open,Closed,0.9,BROOKHTP4A,SANDCRAB4A,1,Line,SANDCRAB4A,BROOKHTP4A,1,Line,direct_label
649,60005511.0,Open,Closed,1.0,JATN2A,PEAC2A,1,Line,PEAC2A,JATN2A,1,Line,direct_label
653295,60089158.0,Closed,Open,0.0,PEPPERCRK_8,TEMP_NW2_8,2,Line,PEPPERCRK_8,TEMP_NW2_8,2,Line,direct_label
665,60000936.0,Closed,Open,0.105,MINERVA1_9,ROCKDALN1_9,1,Line,ROCKDALN1_9,MINERVA1_9,1,Line,direct_label
667608,60078166.0,Open,Closed,1.0,TEAL_8,TAYLOR_W1_8,2,Line,TAYLOR_W1_8,TEAL_8,2,Line,direct_label
672174,60091449.0,Closed,Open,0.375,RESNIK4A,CHENIERE4D,2,Line,RESNIK4A,CHENIERE4C,2,Line,direct_label
675110,60091709.0,Closed,Open,0.4,LONHILL7A,REFORZAR7A,1,Line,LONHILL7A,REFORZAR7A,1,Line,direct_label
675111,60091712.0,Closed,Open,0.4,NEDIN7C,REFORZAR7A,1,Line,NEDIN7C,REFORZAR7A,1,Line,direct_label
682155,60090469.0,Open,Closed,0.75,RUCKER,ELLISONSPG_9,1,Line,RUCKER,ELLISONSPG_9,1,Line,direct_label
68935,60003600.0,Open,Closed,1.0,CACTUS2A,IRAN2A,1,Line,CACTUS2A,IRAN2A,1,Line,direct_label
695,60003810.0,Open,Closed,1.0,CHLC_VER2A,VRCP2A,1,Line,CHLC_VER2A,VRCP2A,1,Line,direct_label
698175,60090601.0,Closed,Open,0.2,CRGRNCH1_8,RIDGEVW2_8,2,Line,CRGRNCH1_8,RIDGEVW2_8,2,Line,direct_label
699808,60091079.0,Open,Closed,1.0,HIDEOUT,RUNAWAY_8,2,Line,HIDEOUT,RUNAWAY_8,2,Line,direct_label
704361,60091463.0,Open,Closed,0.667,FIREROCK2A,LKBRNWD_9,2,Line,FIREROCK2A,LKBRNWD_9,2,Line,direct_label
706858,60008708.0,Closed,Open,0.353,COYCTP4A,PLEASANT4A,1,Line,COYCTP4A,PLEASANT4A,1,Line,direct_label
709659,60093263.0,Open,Closed,0.667,BLACKSTCK_8,ROYSE3_8,3,Line,ROYSE3_8,BLACKSTCK_8,3,Line,direct_label
710707,60092129.0,Open,Closed,1.0,ATMEL1_T8,SHRPD1_T8,1,Line,SHRPD1_T8,ATMEL1_T8,1,Line,direct_label
710709,60092130.0,Open,Closed,1.0,ATMEL2_T8,SHRPD2_T8,1,Line,SHRPD2_T8,ATMEL2_T8,1,Line,direct_label
712975,60095724.0,Closed,Open,0.471,FTGRIFFI2A,IBIS2A,1,Line,FTGRIFFI2A,IBIS2A,1,Line,direct_label
715049,60004091.0,Closed,Open,0.474,COYCTP4A,SUNNILN4A,1,Line,SUNNILN4A,COYCTP4A,1,Line,direct_label
716258,60093253.0,Open,Closed,1.0,STEKLY_DAM_5,BELFALLS_8,2,Line,STEKLY_DAM_5,BELFALLS_8,2,Line,direct_label
716271,60093254.0,Open,Closed,1.0,STEKLY_DAM_5,LAKE_CRK1_5,1,Line,LAKE_CRK2_5,STEKLY_DAM_5,1,Line,direct_label
716935,60094848.0,Closed,Open,0.158,BRADYRE2,RUDDER2A,1,Line,BRADYRE2,RUDDER2A,1,Line,direct_label
