teid,substation,star_bus,ckt,inferred_status,source,sibling_teids,sibling_statuses,flag
279711,HILLCTRY,5207,2,Closed,inferred_transformer_winding,279698;279699,Closed;Closed,
279712,HILLCTRY,5216,3,Closed,inferred_transformer_winding,279692;279689,Closed;Closed,
279708,HILLCTRY,5217,4,Closed,inferred_transformer_winding,279707;279702,Closed;Closed,
505446,HI_LONE,134515,1,Closed,inferred_transformer_winding,505445,Closed,
505447,HI_LONE,134515,1,Closed,inferred_transformer_winding,505445,Closed,
411478,HI_LONE,134514,2,Closed,inferred_transformer_winding,411476,Closed,
411477,HI_LONE,134514,2,Closed,inferred_transformer_winding,411476,Closed,
126308,HKBRY,24026,1,Closed,inferred_transformer_winding,126307;126596,Closed;Closed,
279423,HLSBR,24074,1,Closed,inferred_transformer_winding,279419;279421,Closed;Closed,
279529,HOC,49158,A1,Closed,inferred_transformer_winding,279527;279528,Closed;Closed,
207095,HUTTO,13660,1,Closed,inferred_transformer_winding,280426;206969,Closed;Closed,
438337,HUTTO,24132,2,Closed,inferred_transformer_winding,438336;438335,Closed;Closed,
327086,JCK,49136,A1,Closed,inferred_transformer_winding,327085;327084,Closed;Closed,
327089,JCK,49137,A2,Closed,inferred_transformer_winding,327087;327088,Closed;Closed,
422441,JCK,49138,A3,Closed,inferred_transformer_winding,422439;422440,Closed;Closed,
319888,JEWET,24121,2,Closed,inferred_transformer_winding,319871;319882,Closed;Closed,
