teid,ReasonID,BranchId,EquipmentName,equip_name_norm,cim_opeqname_norm,cim_branchname_norm,plannedStartDate,actualStartDate,actualEndDate
327203,4,,DOCTPA021,DOCTPA021,DOCTAP021,DOCTAP021,2017-03-08 12:39:00,2017-03-08 12:39:00,2017-03-21 17:00:00
183643,4,,JS04,JS04,24T1381,24T1381,2016-02-25 13:00:00,2016-02-25 13:00:00,2016-05-05 00:01:00
16629,4,,REAC_R3,REACR3,ESMERAFRIEND11,ESMERAFRIEND11,2015-11-20 17:01:00,2015-11-20 17:01:00,2015-12-01 16:24:00
11498,4,,Power Transformer MPT,POWERTRANSFORMERMPT,TYLRWINDMPT,TYLRWINDMPT,2016-09-01 00:00:00,,
335097,4,,BBREEZE_BRU_T1,BBREEZEBRUT1,BBREEZET1,BBREEZET1,2017-09-06 00:00:00,2017-09-06 00:00:00,2017-10-06 16:00:00
335098,4,,BBREEZE_BRU_T2,BBREEZEBRUT2,BBREEZET2,BBREEZET2,2017-09-06 00:00:00,2017-09-06 00:00:00,2017-10-06 16:00:00
76988,4,,Power Transformer,POWERTRANSFORMER,TWINBUAT2H,TWINBUAT2HH,2016-08-24 00:00:00,,
360927,4,,WICKETT 138/69KV AUTO TNP,WICKETT13869KVAUTOTNP,WICKETTWAT1,WICKETTWKTWAT1HI,2018-06-13 00:00:00,2018-06-13 00:00:00,2018-07-13 21:39:00
323379,4,,6150_V,6150V,1535B,1535B,2016-12-14 00:00:00,2016-12-14 00:00:00,2016-12-14 00:01:00
335098,4,,BBREEZE_BRU_T2,BBREEZEBRUT2,BBREEZET2,BBREEZET2,2017-10-06 16:01:00,2017-10-06 16:01:00,2017-10-19 15:00:00
335097,4,,BBREEZE_BRU_T1,BBREEZEBRUT1,BBREEZET1,BBREEZET1,2017-10-06 16:01:00,2017-10-06 16:01:00,2017-10-19 15:00:00
185333,4,,PS27,PS27,138SDSEPS1,138SDSEPS1,2016-11-01 00:00:00,2016-11-01 00:00:00,2016-11-29 17:38:00
183643,4,,JS04,JS04,24T1381,24T1381,2015-11-18 00:00:00,2015-11-18 00:00:00,2015-11-18 00:01:00
16629,4,,REAC_R3,REACR3,ESMERAFRIEND11,ESMERAFRIEND11,2015-10-07 00:00:00,2015-10-07 00:00:00,2015-10-16 17:00:00
89299,4,,SST1,SST1,SSPURTWOS3T1,SSPURTWOS3T1,2015-04-01 00:00:00,2015-04-01 00:00:00,2015-04-21 11:22:00
89306,4,,SST2,SST2,SSPURTWOS3T2,SSPURTWOS3T2,2015-04-01 00:00:00,2015-04-01 00:00:00,2015-04-21 11:22:00
359136,4,,565_N,565N,567F,567F,2018-05-02 00:00:00,2018-05-02 00:00:00,2018-05-02 00:01:00
325253,4,,138_69A1L,13869A1L,LARDSTATLSTM,LARDSTATLSTM,2017-04-19 00:00:00,2017-04-19 00:00:00,2017-07-27 08:30:00
238285,4,,ELECTRAW_TLINE1,ELECTRAWTLINE1,DIGBYTLINE1,DIGBYTLINE1,2016-09-01 00:00:00,2016-09-01 00:00:00,2016-10-03 17:00:00
198761,9,,4062,4062,ESMERAWOLFBE11,ESMERAWOLFBE11,2016-06-18 18:01:00,2016-06-18 18:04:00,2016-10-04 23:59:00
