teid,old_branch_id,old_branch_name,old_op_eqcode,recommended_collapseid,new_branch_name,new_op_eqcode,confidence
71379,60054435,OLEANDER_138_69_AUTO_L,OLEANDER_138_69_AUTO_L,60111701,OLEANDER_138_69_AUTO_H,OLEANDER_138_69_AUTO_H,probable_renamed_duplicate
73311,60003260,BELLSN_RC138kV,BELLSN_RC138kV_1,60016872,BELLSN_RC138KV1,BELLSN_RC138KV_1,confirmed_exact_duplicate
74256,60006831,QALSW_16T701H,QALSW_16T701H,60112124,QALSW_16H,QALSW_16H,probable_renamed_duplicate
75808,60007402,STV_XFMR29,STV_XFMR29,60067691,STV_XFMR28,STV_XFMR28,probable_renamed_duplicate
79945,60029454,EASTMUND_T1_L,EASTMUND_T1_L,60110970,EASTMUND_T1_H,EASTMUND_T1_H,probable_renamed_duplicate
81773,60008270,NIXON_ATH,NIXON_ATH,60052616,NIXON_ATL,NIXON_ATL,probable_renamed_duplicate
82196,60006907,REDFISH_MV1_T1,REDFISH_MV1_T1,60112575,REDFISH_MVT1,REDFISH_MVT1,probable_renamed_duplicate
82355,60008381,1055_O,1055__O,60092052,1075_B,1075__B,probable_renamed_duplicate
83880,60006675,PENA3_PENASCALXFMR3,PENA3_PENASCALXFMR3,60112564,PENA3_FMR3,PENA3_FMR3,probable_renamed_duplicate
84411,60006252,MOZART_T1_H,MOZART_T1_H,60112264,MOZART_T1,MOZART_T1,probable_renamed_duplicate
86577,60006533,OLN_XFMR22,OLN_XFMR22,60054627,OLN_XFMR21,OLN_XFMR21,probable_renamed_duplicate
87861,60008102,BRINKR_RC138kV,BRINKR_RC138kV_1,60019490,BRINKR_RC138KV1,BRINKR_RC138KV_1,confirmed_exact_duplicate
90864,60008279,FM524_FMF524FMF1_A,FM524_FMF524FMF1_A,60032560,FM524_FMF524FMF1_B,FM524_FMF524FMF1_B,probable_renamed_duplicate
92293,60030928,ESKSW_AXFMR2L,ESKSW_AXFMR2L,60110703,ESKSW_AXFMR2H,ESKSW_AXFMR2H,probable_renamed_duplicate
95763,60004042,COMRC_AXFMR1H,COMRC_AXFMR1H,60004043,COMRC_AXFMR1L,COMRC_AXFMR1L,probable_renamed_duplicate
97895,60063376,SASASW_ATL,SASASW_ATL,60111019,SASASW_ATH,SASASW_ATH,probable_renamed_duplicate
97913,60068821,TELPH_RD_TPR7TR1L,TELPH_RD_TPR7TR1L,60111322,TELPH_RD_TPR7TR1H,TELPH_RD_TPR7TR1H,probable_renamed_duplicate
98521,60001641,52T268,52T268_1,60009280,651T6511,651T651_1,probable_renamed_duplicate
100188,60074821,WINK_WINKAT2,WINK_WINKAT2,60111397,WINK_WINKAT2B,WINK_WINKAT2B,probable_renamed_duplicate
101307,60006344,NCARBIDE_138_69A1_H,NCARBIDE_138_69A1_H,60052039,NCARBIDE_138_69A1_L,NCARBIDE_138_69A1_L,probable_renamed_duplicate
102869,60006057,MASOCT_AT2_H,MASOCT_AT2_H,60084276,MASOCT_AT2_L,MASOCT_AT2_L,probable_renamed_duplicate
103776,60088884,15035,15035_A,60089993,15035_A,15035__A,probable_renamed_duplicate
103776,60008509,PRONGHRN_SALTF,PRONGHRN_SALTF_1,60089993,15035_A,15035__A,probable_renamed_duplicate
108985,60007513,THOMASTN_SR,THOMASTN_SR,60069205,THOMASTN_LD,THOMASTN_LD,probable_renamed_duplicate
109333,60004637,EXGNWTL_T1H,EXGNWTL_T1H,60112578,EXGNWTL_T1,EXGNWTL_T1,probable_renamed_duplicate
125352,60006345,NCARBIDE_138_69A2_H,NCARBIDE_138_69A2_H,60052040,NCARBIDE_138_69A2_L,NCARBIDE_138_69A2_L,probable_renamed_duplicate
133566,60064745,SHILOH_LOWSIDE,SHILOH_LOWSIDE,60110637,SHILOH_HIGHSIDE,SHILOH_HIGHSIDE,probable_renamed_duplicate
