teid,branch_id,branch_name,op_eqcode,device_type,from_name,to_name,ckt,other_branch_ids_sharing_teid,other_branch_names_sharing_teid
1541,60006079,MCADTP_PADC11,MCADTP_PADC1_1,Line,MCADAMST2A,PADC2A,1,60084303,MCAD_PADC11
1574,60086733,SACK_SARC11,SACK_SARC1_1,Line,SACK4A,SARC4A,1,60008067,COKEST_REDCRE11
1574,60008067,COKEST_REDCRE11,COKEST_REDCRE1_1,Line,REDCREEK4A,COKESTRE4A,1,60086733,SACK_SARC11
1577,60002938,AILN_FTPP1,AILN_FTPP1_1,Line,FTPP4A,AILN2A,1,60009042,AILEEN_FTPP11
1577,60009042,AILEEN_FTPP11,AILEEN_FTPP1_1,Line,AILEEN2A,FTPP4A,1,60002938,AILN_FTPP1
1579,60079061,ABCC_ABCR11,ABCC_ABCR1_1,Line,ABCR4A,ABCC4A,1,60009080,CANYON_COUNTR11
1579,60009080,CANYON_COUNTR11,CANYON_COUNTR1_1,Line,CANYONRO4A,COUNTRYC4A,1,60079061,ABCC_ABCR11
1580,60002838,ABEA_AILN1,ABEA_AILN1_1,Line,ABEA4A,AILN2A,1,60009072,ABEAST_AILEEN11
1580,60009072,ABEAST_AILEEN11,ABEAST_AILEEN1_1,Line,ABEAST4A,AILEEN2A,1,60002838,ABEA_AILN1
1581,60079070,ABCR_ABSO11,ABCR_ABSO1_1,Line,ABSO4A,ABCR4A,1,60009062,CANYON_SOUTHA11
1581,60009062,CANYON_SOUTHA11,CANYON_SOUTHA1_1,Line,SOUTHABI4A,CANYONRO4A,1,60079070,ABCR_ABSO11
1583,60080055,BENF_SAPS11,BENF_SAPS1_1,Line,SAPS4A,BENF4A,1,60008076,BENFIC_SAPOWE11
1583,60008076,BENFIC_SAPOWE11,BENFIC_SAPOWE1_1,Line,SAPOWER4B,BENFICKL4A,1,60080055,BENF_SAPS11
1604,60083571,KRANC_LHILL_1A1,KRANC_LHILL_1A_1,Line,,,1,60005634,KINGRN_STRATT11
1604,60005634,KINGRN_STRATT11,KINGRN_STRATT1_1,Line,STRATTON4A,KRGP4A,1,60083571,KRANC_LHILL_1A1
1728,60003806,CHIS_AVND,CHIS_AVND_1,Line,CHISOLM,AVONDALE,1,60012104,CHIS_ROSM1
1728,60012104,CHIS_ROSM1,CHIS_ROSM_1,Line,ROSEMARY,CHISOLM,1,60003806,CHIS_AVND
1742,60003007,ALPI_ALPR1,ALPI_ALPR1_1,Line,ALPR2A,ALPI2A,1,60008690,ALPINE_ALPR11
1742,60008690,ALPINE_ALPR11,ALPINE_ALPR1_1,Line,ALPINE2A,ALPR2A,1,60003007,ALPI_ALPR1
1749,60003808,CHLC_PAUL1,CHLC_PAUL1_1,Line,PAUL2A,CHLC2A,1,60009013,CHILLI_PAUL11
1749,60009013,CHILLI_PAUL11,CHILLI_PAUL1_1,Line,CHILLICO2A,PAUL2A,1,60003808,CHLC_PAUL1
1751,60002857,ABNW_ABON1,ABNW_ABON1_1,Line,ABNW2A,ABON2A,1,60009043,ABNTHW_ONYXRE11
1751,60009043,ABNTHW_ONYXRE11,ABNTHW_ONYXRE1_1,Line,ONYXREA2A,ABNTHWST2A,1,60002857,ABNW_ABON1
1752,60003009,ALPI_MARF1,ALPI_MARF1_1,Line,ALPI2A,MARF2A,1,60009126,ALPINE_MARFA11
1752,60009126,ALPINE_MARFA11,ALPINE_MARFA1_1,Line,ALPINE2A,MARFA2A,1,60003009,ALPI_MARF1
1756,60002872,ABRC_ABWT1,ABRC_ABWT1_1,Line,ABRC2A,ABWT2A,1,60009039,RAINEY_WALNTT11
1756,60009039,RAINEY_WALNTT11,RAINEY_WALNTT1_1,Line,RAINEYCR2A,WALNTTAP2A,1,60002872,ABRC_ABWT1
1757,60003090,AROT_HULD1,AROT_HULD1_1,Line,AROT2A,HULD2A,1,60012700,ARROTT_HULLDA11
1757,60012700,ARROTT_HULLDA11,ARROTT_HULLDA1_1,Line,HULLDALE2A,ARROTT2A,1,60003090,AROT_HULD1
1758,60087068,SAPS_SASO11,SAPS_SASO1_1,Line,SAPS2A,SASL2A,1,60008071,SAPOWE_SASOUT11
1758,60008071,SAPOWE_SASOUT11,SAPOWE_SASOUT1_1,Line,SAPOWER2A,SASOUTH2A,1,60087068,SAPS_SASO11
1759,60002844,ABEC_ABSH1,ABEC_ABSH1_1,Line,ABEC2A,ABSH2A,1,60009054,ELMCRK_SHELTO11
1759,60009054,ELMCRK_SHELTO11,ELMCRK_SHELTO1_1,Line,SHELTONS2A,ELMCRK2A,1,60002844,ABEC_ABSH1
1813,60002866,ABOV_ABSO1,ABOV_ABSO1_1,Line,ABSO2A,ABOV2A,1,60009060,OVERST_SOUTHA11
1813,60009060,OVERST_SOUTHA11,OVERST_SOUTHA1_1,Line,SOUTHABI2A,OVERSTRE2A,1,60002866,ABOV_ABSO1
1816,60003089,AROT_CRIS1,AROT_CRIS1_1,Line,CRIS2A,AROT2A,1,60009108,ARROTT_CRIS11
1816,60009108,ARROTT_CRIS11,ARROTT_CRIS1_1,Line,CRIS2A,ARROTT2A,1,60003089,AROT_CRIS1
1819,60005211,HAMR_RADM1,HAMR_RADM1_1,Line,RADM2A,HAMR2A,1,60008670,HAMR_RADIUM11
1819,60008670,HAMR_RADIUM11,HAMR_RADIUM1_1,Line,HAMR2A,RADIUM2A,1,60005211,HAMR_RADM1
1824,60002828,ABD2_DYESS31,ABD2_DYESS31_1,Line,ABDYES22,DYESS3AB2A,1,60009608,DYESS2_DYESS311
1824,60009608,DYESS2_DYESS311,DYESS2_DYESS31_1,Line,DYESS3AB2A,DYESS2AB2A,1,60002828,ABD2_DYESS31
1833,60003178,BAIR_CLYD1,BAIR_CLYD1_1,Line,CLYD2A,BAIR2A,1,60009085,BAIRD_CLYDE11
1833,60009085,BAIRD_CLYDE11,BAIRD_CLYDE1_1,Line,BAIRD2A,CLYDE2A,1,60003178,BAIR_CLYD1
1838,60003186,BALG_PAINTR1,BALG_PAINTR1_1,Line,BALG2A,PTRK2A,1,60009096,BALLIN_PAINTR11
1838,60009096,BALLIN_PAINTR11,BALLIN_PAINTR1_1,Line,BALLINGE2A,PTRK2A,1,60003186,BALG_PAINTR1
1839,60002846,ABEC_ARNT1,ABEC_ARNT1_1,Line,ABEC2A,ARNT2A,1,60009053,ARNT_ELMCRK11
1839,60009053,ARNT_ELMCRK11,ARNT_ELMCRK1_1,Line,ELMCRK2A,ARNT2A,1,60002846,ABEC_ARNT1
1843,60006582,PAIP_STAMFP1,PAIP_STAMFP1_1,Line,STAMFPMP2A,PAIP2A,1,60008419,PAINTC_STAMFP11
1843,60008419,PAINTC_STAMFP11,PAINTC_STAMFP1_1,Line,PAINTCRE2A,STAMFPMP2A,1,60006582,PAIP_STAMFP1
1844,60086791,SACO_SAJT11,SACO_SAJT1_1,Line,SAJT2A,SACO2A,1,60008416,CONCHO_JACKSN11
1844,60008416,CONCHO_JACKSN11,CONCHO_JACKSN1_1,Line,CONCHO2A,JACKSNTP2A,1,60086791,SACO_SAJT11
1845,60002887,ABVT_ABWT1,ABVT_ABWT1_1,Line,ABVT2A,ABWT2A,1,60009051,VOGELT_WALNTT11
1845,60009051,VOGELT_WALNTT11,VOGELT_WALNTT1_1,Line,VOGELTAP2A,WALNTTAP2A,1,60002887,ABVT_ABWT1
1847,60003753,CEDH_SILT1,CEDH_SILT1_1,Line,CEDH2A,SILVRTP2,1,60008066,CEDRHI_SILT11
1847,60008066,CEDRHI_SILT11,CEDRHI_SILT1_1,Line,SILVRTP2,CEDRHILL2A,1,60003753,CEDH_SILT1
1878,60002854,ABMM_ABSH1,ABMM_ABSH1_1,Line,ABSH2A,ABMM2A,1,60009067,MCMURR_SHELTO11
1878,60009067,MCMURR_SHELTO11,MCMURR_SHELTO1_1,Line,SHELTONS2A,MCMURRY2A,1,60002854,ABMM_ABSH1
1879,60007095,SANO_SAWT1,SANO_SAWT1_1,Line,SANO2A,SAWT2A,1,60008433,SANORT_SAWT11
1879,60008433,SANORT_SAWT11,SANORT_SAWT1_1,Line,SAWT2A,SANORTH2A,1,60007095,SANO_SAWT1
