teid,branch_id,n_snapshots,n_status_rows,n_closed,n_open,pct_closed,default_status_majority,review_flag
501,60008963,20,20,20,0,1.0,Closed,clear_majority
504,60005193,20,20,20,0,1.0,Closed,clear_majority
505,60004121,20,20,20,0,1.0,Closed,clear_majority
506,60006731,20,20,20,0,1.0,Closed,clear_majority
508,60001219,20,20,20,0,1.0,Closed,clear_majority
509,60001403,20,20,20,0,1.0,Closed,clear_majority
510,60003893,20,20,20,0,1.0,Closed,clear_majority
512,60003911,20,20,20,0,1.0,Closed,clear_majority
513,60003919,20,20,20,0,1.0,Closed,clear_majority
514,60003920,20,20,20,0,1.0,Closed,clear_majority
515,60003921,20,20,19,1,0.95,Closed,clear_majority
516,60003922,20,20,20,0,1.0,Closed,clear_majority
517,60003923,20,20,20,0,1.0,Closed,clear_majority
518,60003928,20,20,20,0,1.0,Closed,clear_majority
519,60007734,20,20,20,0,1.0,Closed,clear_majority
522,60006446,20,20,20,0,1.0,Closed,clear_majority
525,60002748,20,20,20,0,1.0,Closed,clear_majority
529,60002395,20,20,20,0,1.0,Closed,clear_majority
530,60002448,20,20,20,0,1.0,Closed,clear_majority
532,60009779,0,0,0,0,,,no_pto_data
533,60002538,20,20,20,0,1.0,Closed,clear_majority
534,60002386,20,20,20,0,1.0,Closed,clear_majority
535,60002506,20,20,20,0,1.0,Closed,clear_majority
537,60002543,20,20,20,0,1.0,Closed,clear_majority
538,60002547,20,20,20,0,1.0,Closed,clear_majority
539,60002552,20,20,20,0,1.0,Closed,clear_majority
540,60008426,20,20,20,0,1.0,Closed,clear_majority
542,60002518,20,20,20,0,1.0,Closed,clear_majority
544,60004024,19,19,19,0,1.0,Closed,clear_majority
545,60009058,20,20,20,0,1.0,Closed,clear_majority
547,60008077,20,20,20,0,1.0,Closed,clear_majority
550,60006082,20,20,20,0,1.0,Closed,clear_majority
551,60006620,20,20,20,0,1.0,Closed,clear_majority
553,60008075,20,20,20,0,1.0,Closed,clear_majority
554,60008430,20,20,20,0,1.0,Closed,clear_majority
556,60006513,20,20,20,0,1.0,Closed,clear_majority
557,60003387,7,7,7,0,1.0,Closed,clear_majority
558,60003388,20,20,20,0,1.0,Closed,clear_majority
560,60009065,4,4,4,0,1.0,Closed,clear_majority
562,60009071,20,20,20,0,1.0,Closed,clear_majority
564,60064538,0,0,0,0,,,no_pto_data
565,60006552,20,20,20,0,1.0,Closed,clear_majority
566,60008679,20,20,20,0,1.0,Closed,clear_majority
570,60008680,20,20,20,0,1.0,Closed,clear_majority
571,60005772,20,20,18,2,0.9,Closed,clear_majority
574,60001499,20,20,20,0,1.0,Closed,clear_majority
575,60001517,20,20,20,0,1.0,Closed,clear_majority
576,60001524,20,20,18,2,0.9,Closed,clear_majority
577,60001535,19,19,19,0,1.0,Closed,clear_majority
579,60001553,20,20,20,0,1.0,Closed,clear_majority
580,60009568,20,20,20,0,1.0,Closed,clear_majority
582,60001611,20,20,20,0,1.0,Closed,clear_majority
583,60001612,20,20,20,0,1.0,Closed,clear_majority
584,60006211,20,20,20,0,1.0,Closed,clear_majority
585,60004416,20,20,20,0,1.0,Closed,clear_majority
586,60001967,20,20,17,3,0.85,Closed,clear_majority
587,60007457,20,20,20,0,1.0,Closed,clear_majority
588,60001126,20,20,20,0,1.0,Closed,clear_majority
590,60006074,20,20,20,0,1.0,Closed,clear_majority
591,60008068,20,20,20,0,1.0,Closed,clear_majority
592,60006514,20,20,20,0,1.0,Closed,clear_majority
593,60003813,20,20,20,0,1.0,Closed,clear_majority
595,60003104,19,19,19,0,1.0,Closed,clear_majority
596,60009061,20,20,20,0,1.0,Closed,clear_majority
599,60004523,20,20,20,0,1.0,Closed,clear_majority
600,60008045,20,20,20,0,1.0,Closed,clear_majority
601,60006991,20,20,20,0,1.0,Closed,clear_majority
602,60000889,20,20,20,0,1.0,Closed,clear_majority
603,60000901,20,20,20,0,1.0,Closed,clear_majority
604,60000094,20,20,20,0,1.0,Closed,clear_majority
606,60000096,20,20,20,0,1.0,Closed,clear_majority
607,60000097,20,20,20,0,1.0,Closed,clear_majority
608,60000098,20,20,20,0,1.0,Closed,clear_majority
609,60000099,20,20,20,0,1.0,Closed,clear_majority
610,60000100,20,20,20,0,1.0,Closed,clear_majority
611,60000101,20,20,20,0,1.0,Closed,clear_majority
612,60000707,3,3,3,0,1.0,Closed,clear_majority
613,60000569,15,15,15,0,1.0,Closed,clear_majority
614,60001136,20,20,20,0,1.0,Closed,clear_majority
615,60002536,20,20,20,0,1.0,Closed,clear_majority
616,60002779,20,20,20,0,1.0,Closed,clear_majority
617,60000857,20,20,20,0,1.0,Closed,clear_majority
619,60000093,20,20,20,0,1.0,Closed,clear_majority
620,60007055,20,20,20,0,1.0,Closed,clear_majority
623,60003105,20,20,20,0,1.0,Closed,clear_majority
624,60004735,20,20,20,0,1.0,Closed,clear_majority
628,60009021,20,20,20,0,1.0,Closed,clear_majority
632,60005242,20,20,20,0,1.0,Closed,clear_majority
634,60007077,20,20,20,0,1.0,Closed,clear_majority
635,60007069,20,20,20,0,1.0,Closed,clear_majority
636,60008036,20,20,0,20,0.0,Open,clear_majority
637,60006952,20,20,20,0,1.0,Closed,clear_majority
638,60010224,20,20,20,0,1.0,Closed,clear_majority
639,60003812,20,20,20,0,1.0,Closed,clear_majority
640,60006676,20,20,20,0,1.0,Closed,clear_majority
641,60008064,20,20,20,0,1.0,Closed,clear_majority
642,60006147,20,20,20,0,1.0,Closed,clear_majority
643,60003023,20,20,20,0,1.0,Closed,clear_majority
644,60064537,0,0,0,0,,,no_pto_data
645,60006278,20,20,20,0,1.0,Closed,clear_majority
646,60006688,20,20,20,0,1.0,Closed,clear_majority
647,60004825,20,20,18,2,0.9,Closed,clear_majority
649,60005511,3,3,3,0,1.0,Closed,clear_majority
653,60006148,20,20,20,0,1.0,Closed,clear_majority
655,60006577,20,20,20,0,1.0,Closed,clear_majority
656,60009104,20,20,20,0,1.0,Closed,clear_majority
657,60006279,20,20,20,0,1.0,Closed,clear_majority
658,60004053,20,20,20,0,1.0,Closed,clear_majority
659,60000007,20,20,20,0,1.0,Closed,clear_majority
660,60000008,20,20,20,0,1.0,Closed,clear_majority
662,60000020,19,19,19,0,1.0,Closed,clear_majority
663,60000021,20,20,20,0,1.0,Closed,clear_majority
665,60000936,19,19,2,17,0.105,Open,clear_majority
667,60000944,20,20,20,0,1.0,Closed,clear_majority
674,60002321,20,20,20,0,1.0,Closed,clear_majority
