isomarketid,branchID,branchName,ptoIDSource,InsertDate,b1,b2,b3,ckt,OP_EQCODE,LNNAME,EQNAME,DeviceType,FromName,ToName,b3Text,branchStationID,branchDeviceTypeId,teid,collapseId,legacyBranchId,ptoBranchID,fromNum,toNum,pto_ckt,pto_deviceType,identity_key,has_pto_match,dup_type
6,60059963,RENSW_21_138,,2023-11-21 12:26:39.067,,,,,RENSW_21_138,,21,shunt,RNRDPL_S8,,RENSW,,,282318.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60086321,RENSW_CAPBNK2A_138,,2024-01-25 09:01:19.767,,,,,RENSW_CAPBNK2A_138,,CAPBNK2A,shunt,,,RENSW,,,282318.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60059991,RENSW_CAPBNK42_138,,2023-11-21 12:26:39.067,,,,,RENSW_CAPBNK42_138,,CAPBNK42,shunt,RNRTPL_E8,,RENSW,,,282341.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60086328,RENSW_CAPBNK4B_138,,2024-01-25 09:01:19.767,,,,,RENSW_CAPBNK4B_138,,CAPBNK4B,shunt,,,RENSW,,,282341.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60036951,HAMILTON_CAPBNK4_138,,2023-11-21 12:26:39.067,,,,,HAMILTON_CAPBNK4_138,,CAPBNK4,shunt,HAMILTON4B,,HAMILTON,,,282349.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60082767,HAMILTON_C6_138,,2024-01-25 09:01:19.767,,,,,HAMILTON_C6_138,,C6,shunt,HAMIL_P4,,HAMILTON,,,282349.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60060865,RIOPECOS_R2_138,,2023-11-21 12:26:39.067,,,,,RIOPECOS_R2_138,,R2,shunt,RIOPECOS4A,,RIOPECOS,,,282369.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60086537,RIOP_R2_138,,2024-01-25 09:01:19.767,,,,,RIOP_R2_138,,R2,shunt,,,RIOP,,,282369.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60059972,RENSW_51_138,,2023-11-21 12:26:39.067,,,,,RENSW_51_138,,51,shunt,RNRTPL_W8,,RENSW,,,282406.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60086324,RENSW_CAPBNK3A_138,,2024-01-25 09:01:19.767,,,,,RENSW_CAPBNK3A_138,,CAPBNK3A,shunt,,,RENSW,,,282406.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60039857,IBM__C1_138,,2023-11-21 12:26:39.067,,,,,IBM__C1_138,,C1,shunt,IBM,,IBM_,,,282408.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60083157,IBM__IBM_C1B_138,,2024-01-25 09:01:19.767,,,,,IBM__IBM_C1B_138,,IBM_C1B,shunt,,,IBM_,,,282408.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60042462,KLNSW_CAPBNK11_138,,2023-11-21 12:26:39.067,,,,,KLNSW_CAPBNK11_138,,CAPBNK11,shunt,KILL_SS__8,,KLNSW,,,282422.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60083521,KLNSW_CAPBNK1_138,,2024-01-25 09:01:19.767,,,,,KLNSW_CAPBNK1_138,,CAPBNK1,shunt,,,KLNSW,,,282422.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60059974,RENSW_53_138,,2023-11-21 12:26:39.067,,,,,RENSW_53_138,,53,shunt,RNRTPL_W8,,RENSW,,,282424.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60086326,RENSW_CAPBNK3C_138,,2024-01-25 09:01:19.767,,,,,RENSW_CAPBNK3C_138,,CAPBNK3C,shunt,,,RENSW,,,282424.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60059973,RENSW_52_138,,2023-11-21 12:26:39.067,,,,,RENSW_52_138,,52,shunt,RNRTPL_W8,,RENSW,,,282447.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60086325,RENSW_CAPBNK3B_138,,2024-01-25 09:01:19.767,,,,,RENSW_CAPBNK3B_138,,CAPBNK3B,shunt,,,RENSW,,,282447.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60042464,KLNSW_CAPBNK13_138,,2023-11-21 12:26:39.067,,,,,KLNSW_CAPBNK13_138,,CAPBNK13,shunt,KILL_SS__8,,KLNSW,,,282448.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60083523,KLNSW_CAPBNK3_138,,2024-01-25 09:01:19.767,,,,,KLNSW_CAPBNK3_138,,CAPBNK3,shunt,,,KLNSW,,,282448.0,,,,,,,,-1|-1|,False,insufficient_pto_data
